Albanian,au
Albanian,mpuq
Albanian,of
Albanian,ua-ua
Albanian,uf
Arabic,aij
Arabic,atchu
Arabic,ha ha ha
Arabic,hee hee
Arabic,humm
Arabic,mwa
Arabic,tum tum
Armenian,cha cha cha
Armenian,ka ka ka
Armenian,to-to
Asturian,ha ha ha
Asturian,he he he
Azerbaijani,uf
Basque,ai
Basque,aiei
Basque,epa
Basque,usin
Basque,doministiku
Basque,zurrun-zurrun
Batak,a-ak
Batak,alale
Batak,atcim
Batak,bar-bar-bar
Batak,ei
Batak,guk
Batak,kakak
Batak,korrrr
Batak,nguek nguek
Batak,nyaum nyaum
Batak,org
Batak,put
Batak,ummah
Belarusian,aj
Bengali,Chebano
Bengali,chuma
Bengali,dhekur
Bengali,durdur
Bengali,duruduru
Bengali,gob gob
Bengali,goba gob
Bengali,hach-chu
Bengali,Kamrano
Bengali,oaa oaa
Bengali,pad
Bengali,sopa sop 
Bengali,thotmot
Bengali,totlano
Bosnian,cmok
Bosnian,pusa
Brazil Portugese,huehuehue
Bulgarian,aj
Bulgarian,au ay
Bulgarian,ox ox
Bulgarian,oj
Bulgarian,am am
Bulgarian,apchix
Bulgarian,gull
Bulgarian,hurrr
Bulgarian,tup
Bulgarian,tzun
Bulgarian,mlias
Bulgarian,pratz
Bulgarian,urig
Bulgarian,hahaha
Bulgarian,hehehe
Bulgarian,hihihi
Bulgarian,shut
Bulgarian,yaaaaa - yaaaaa
Bulgarian,uaaaa - uaaaa
Bulgarian,hrus
Bulgarian,glyok glyok
Cantonese,bihng-bihng
Cantonese,hat-chi
Catalan,ai
Catalan,anguee
Catalan,atxim
Catalan,atxis
Catalan,atxum!
Catalan,au
Catalan,hahaha
Catalan,hehehe
Catalan,mua
Catalan,nyam nyam
Catalan,pu-pum pu-pum
Catalan,tu-tum tu-tum
Catalan,ui
Catalan,uix
Catalan,xiuxiuejar
Catalan,zing-zing
Cebuano,hahay
Chinook-Jargon,heehee
Chinook-Jargon,tumtum
Croatian,jao
Croatian,joj
Croatian,njam njam
Czech,au
Czech,jau
Czech,be be
Czech,buch buch
Czech,chrrr
Czech,chrup
Czech,chroup
Czech,fuj
Czech,ha ha
Czech,cha cha
Czech,chi chi
Czech,ham
Czech,nam nam
Czech,hepci
Czech,klik
Czech,krk
Czech,prd
Czech,ps
Czech,rup
Czech,ziv
Danish,atju
Danish,av
Danish,bank bank
Danish,bovs
Danish,dung dung
Danish,ha
Danish,ha ha
Danish,hae hae
Danish,hatju
Danish,hi hi
Danish,ho ho
Danish,kvaek
Danish,maeh
Danish,mam mam
Danish,mjav
Danish,mos
Danish,muh
Danish,nam nam
Danish,prut
Danish,shishoshisho
Danish,slurk
Danish,smaek
Danish,ti hi
Danish,vov
Danish,vrinsk
Dutch,shh
Dutch,au
Dutch,auw
Dutch,boenk boenk
Dutch,boem boem
Dutch,haha
Dutch,hihi
Dutch,Hatsjoe!
Dutch,Hatsjie! 
Dutch,iek
Dutch,jam jam
Dutch,pats
Dutch,scheet
Dutch,slik
Dutch,smak
Dutch,waf
Dutch,zzz
English,Achoo!
English,agh
English,arf
English,argh
English,atishoo
English,ba boom
English,ba bump
English,baa
English,babble
English,bam
English,bang
English,beep
English,bleep
English,blort
English,bobwhite
English,boing
English,boingy
English,boo hoo
English,bop
English,bow-wow
English,burble
English,burp
English,burr
English,buzz
English,bwahaha
English,bzzt
English,caw
English,cha-ching
English,cheep
English,ching
English,chirp
English,chirr
English,chomp
English,choo
English,choo choo
English,choo-choo
English,chuffle
English,chug
English,clash
English,clink
English,clip-clop
English,clippety-cloppety
English,clop
English,cluck
English,clump
English,cooee
English,crack
English,crackle
English,creak
English,croak
English,crump
English,cuckoo
English,dap
English,ding
English,ding dong
English,doing
English,doink
English,eek
English,eep
English,fart
English,fizz
English,fizzle
English,fizzy
English,flip
English,flump
English,gah
English,gloop
English,glop
English,glub
English,gluck
English,glug
English,glug glug glug
English,gnu
English,gobble
English,goo
English,goo goo ga ga
English,grr
English,grumble
English,guffaw
English,gulp
English,gurgle
English,haha
English,hahah
English,harumph
English,hawk
English,hee
English,hee-hee
English,heehee
English,heh
English,heh heh
English,hiss
English,hmph
English,hockle
English,hohoho
English,honk
English,hubble-bubble
English,hush
English,jabber
English,jangle
English,jingle
English,kablooie
English,keeho
English,kerching
English,kertyschoo
English,knack
English,knock
English,lub-dub
English,meow
English,meu
English,mmm
English,moo
English,motmot
English,muahahaha
English,mumble
English,munch
English,murmur
English,murmurous
English,murr
English,mwah
English,nee nor
English,neigh
English,nom nom nom
English,om nom nom
English,oof
English,oom-pah
English,ouch
English,ow
English,patten
English,patter
English,peep
English,pew
English,pff
English,ping
English,ping pong
English,pitter-patter
English,plink
English,plip
English,plonk
English,ploop
English,plop
English,plunk
English,pompom
English,poof
English,poot
English,pop
English,popple
English,pow
English,purr
English,putt
English,quack
English,rat-a-tat-tat
English,rattle
English,rawr
English,rev
English,ribbit
English,ruff
English,schwing
English,scree
English,scrunch
English,scrunt
English,shh
English,shush
English,sizzle
English,skitter
English,slam-bang
English,slosh
English,slurp
English,smooch
English,snicker-snack
English,splash
English,splat
English,splish
English,splosh
English,squawk
English,squeak
English,squish
English,sss
English,steups
English,susurrus
English,swish
English,swoosh
English,teeheehee
English,thud
English,thump thump
English,thunk
English,tick-tock
English,ticky
English,ting
English,tom-tom
English,toot
English,tuk-tuk
English,tweep
English,tweet
English,twonk
English,uh-oh
English,up up up
English,vroom
English,wah-wah
English,wang
English,whack
English,whew
English,whiffle
English,whoop
English,whoosh
English,wiffleball
English,woof
English,yada yada yada
English,yagh
English,yaw-haw
English,yawn
English,yeow
English,yikes
English,yoink
English,yow
English,yowch
English,yuk
English,yum yum
English,zap
English,zing
English,zip
English,zzz
Estonian,ai
Estonian,amps
Estonian,Aptsihh!
Estonian,Atsihh!
Estonian,haha
Estonian,hahhah
Estonian,hehe
Estonian,hehheh
Estonian,hihi
Estonian,kuss kuss
Estonian,mopsti
Estonian,nam nam
Estonian,namm namm
Estonian,oi
Estonian,tuks tuks
Estonian,urr
Faroese,a
Faroese,joi
Faroese,kjogvi
Filipino,aray
Filipino,aruy
Filipino,ayan
Filipino,hikab
Filipino,lunok
Filipino,uha
Filipino,dub dub
Filipino,hahaha
Filipino,hehehe
Filipino,hihihi
Filipino,hatsing
Filipino,nam nam
Filipino,sasasasa
Filipino,tsup
Filipino,mwah
Finnish,ai
Finnish,Atshii!
Finnish,Atshiu!
Finnish,Atsiuh
Finnish,au
Finnish,auts
Finnish,byaah
Finnish,haha
Finnish,hahhah
Finnish,haukotus
Finnish,hehe
Finnish,hehheh
Finnish,hihhih
Finnish,hihi
Finnish,hys
Finnish,iik
Finnish,jysays
Finnish,kaak
Finnish,kakattaa
Finnish,klup
Finnish,kohia
Finnish,kopista
Finnish,kroohpyyh
Finnish,latkia
Finnish,maa
Finnish,muisk
Finnish,nam nam
Finnish,nami nami
Finnish,proot
Finnish,prut
Finnish,pu-pum
Finnish,pulputa
Finnish,put
Finnish,rousk
Finnish,royh
Finnish,shh
Finnish,tootata
Finnish,tu-tum
Finnish,tuutata
Finnish,vuh
Finnish,yaa
French,aie
French,Atchoum
French,bom bom
French,chut
French,drelin
French,dring
French,glouglouglou
French,gloups
French,hahaha
French,hehehe
French,hihihi
French,hohoho
French,miam
French,miam miam
French,mouah
French,ouaaah
French,ouaf
French,ouille
French,Ouin! Ouin!
French,pÂêete
French,plouf
French,poum poum
French,prout
French,Ron pchi
French,rot
French,smack
Galician,ai
German,ah
German,au
German,aua
German,autsch
German,ba-dumm
German,bumm bumm
German,gahn
German,gluck
German,hahaha
German,Hatschi!
German,Hatschu!
German,hihihihi
German,ieh
German,mampf
German,mampf mampf
German,muah
German,pscht
German,pst
German,pups
German,rulps
German,schluck
German,schlurf
German,schmatz
German,Schnarch
German,uwah
German,waah
German,wah-wah
German,zzz
Greek,apsiu!
Greek,ntouk-ntouk
Greek,ok
Greek,haha
Greek,hehe
Greek,ma
Greek,mats
Greek,mouts
Greek,shh
Greek,shhut
Gujarati,gudgud
Haitian,ay
Hebrew,amm amm
Hebrew,apchi!
Hebrew,bum-bum
Hebrew,gimgum
Hebrew,gluk
Hebrew,greps
Hebrew,mwa
Hebrew,pook
Hebrew,flotz
Hebrew,shh
Hebrew,tzix-tzuax
Hebrew,xa xa xa
Hebrew,xrrr
Hindi,achhee!
Hindi,ahha
Hindi,dadak
Hindi,hhavh-hhavh
Hindi,mmuah
Hungarian,a
Hungarian,au
Hungarian,boff
Hungarian,csitt
Hungarian,cupp
Hungarian,gluggy
Hungarian,haha
Hungarian,Hapci!
Hungarian,hehe
Hungarian,hihi
Hungarian,jaj
Hungarian,kuc-kuc
Hungarian,nyamm nyamm
Hungarian,oa oa
Hungarian,pszt
Hungarian,puha
Icelandic,aei
Icelandic,ai
Icelandic,Atsju!
Icelandic,haha
Icelandic,hehe
Icelandic,hihi
Icelandic,kra
Icelandic,namm namm
Icelandic,oi
Icelandic,uss
Indonesian,aduh
Indonesian,ai
Indonesian,aih
Indonesian,awww
Indonesian,cupp
Indonesian,dag-dig-dug
Indonesian,deg-degan
Indonesian,erk
Indonesian,glek
Indonesian,hacciihh!
Indonesian,hahaha
Indonesian,hehehe
Indonesian,krauk
Indonesian,muahhh
Indonesian,nyam nyam
Indonesian,owe-owe
Indonesian,pret
Indonesian,prett
Indonesian,tuut
Irish,aigh
Italian,ah
Italian,ahi
Italian,ahia
Italian,eh
Italian,etciu
Italian,glu glu
Italian,gnam
Italian,gnam gnam
Italian,ih
Italian,ohi
Italian,prot
Italian,rutt
Italian,smac
Italian,tu tump
Italian,ue-ue
Italian,uh
Japanese,ahaha
Japanese,bu
Japanese,chu
Japanese,doki doki
Japanese,fu fu
Japanese,fuwaaa
Japanese,goku
Japanese,goku goku
Japanese,goshi goshi
Japanese,gu-gu
Japanese,gya
Japanese,hakushon
Japanese,kyaa
Japanese,mogu mogu
Japanese,musha-musha
Japanese,ogyaa
Japanese,paku paku
Japanese,shh
Jerrais,hitchet
Jerrais,lapper
Jerrais,miauner
Jerrais,paffe
Jerrais,papa
Jerrais,piauler
Jerrais,piper
Jerrais,taper
Jerrais,viouler
Kannada,dava dava
Kannada,dub bub
Kazakh,apschoo
Korean,ah
Korean,aya
Korean,bbung
Korean,chi-ka chi-ka
Korean,de-reu-rung
Korean,doogeun doogeun
Korean,etchi
Korean,eung'ae-eung'ae
Korean,ggul gguk 
